Unit,Performance,Points
Hello World,Quiz,30
Hello World,Blog Hello World,10
Hello World,Drawing Start,10
Self,Blog Examine Experiences,15
Self,Annotate Cajita Article,20
Self,Virtual Cajita,100
Truth,Identify Text,10
Truth,Annotate Single Story Video,20
Truth,UDL Organizer,20
Truth,Blog Loose Feathers,20
Truth,Online Book,100
Truth,Online Book Reflection,20
Community,Blog Recognizing Relationships,20
Community,Annotate Inclusion Article,20
Community,WebQuest Performance,100
Community,WebQuest Performance Reflection,20
Justice,Identify Topic,10
Justice,Annotate Equity Article,20
Justice,Goals Outline,15
Justice,Map,20
Justice,Blog Privilege,20
Justice,Conference Participation,20
Justice,WebQuest Design,200
Justice,WebQuest Design Reflection,20
Farewell,Drawing End,10
Farewell,Final Reflection,30
ATTENDANCE/EFFORT,,100
TOTAL,,1000